title,onclick,article_id
경애하는 최고령도자 김정은동지께서 라오스인민혁명당 중앙위원회 총비서인 라오스인민민주주의공화국 주석에게 축전을 보내시였다,"fn_showArticle(""AR0140322"", """", ""NT00"", ""L"")",AR0140322
조선로동당 중앙위원회 제7기 제21차 정치국 확대회의 진행,"fn_showArticle(""AR0140253"", """", ""NT00"", ""L"")",AR0140253
경애하는 최고령도자 김정은동지께서 수리아대통령에게 축전을 보내시였다,"fn_showArticle(""AR0139989"", """", ""NT00"", ""L"")",AR0139989
조선로동당 중앙위원회 제7기 제20차 정치국 확대회의 진행,"fn_showArticle(""AR0139950"", """", ""NT00"", ""L"")",AR0139950
경애하는 최고령도자 김정은동지께서  《총련분회대표자대회-2020》(새 전성기 3차대회) 참가자들에게 축하문을 보내시였다,"fn_showArticle(""AR0139645"", """", ""NT00"", ""L"")",AR0139645
경애하는 최고령도자 김정은동지께서 고 라명희동지의 령전에 화환을 보내시였다,"fn_showArticle(""AR0139638"", """", ""NT00"", ""L"")",AR0139638
선진적인 치료방법 도입,"fn_showArticle(""AR0140355"", """", ""NT41"", ""L"")",AR0140355
청년대학생들 《코드쉐프》경연에서 6련승 쟁취,"fn_showArticle(""AR0140354"", """", ""NT41"", ""L"")",AR0140354
순천세멘트련합기업소에서 년간 인민경제계획 초과완수,"fn_showArticle(""AR0140353"", """", ""NT41"", ""L"")",AR0140353
력사유적유물자료들을 집대성한 귀중한 재보,"fn_showArticle(""AR0140352"", """", ""NT41"", ""L"")",AR0140352
국가적인 보호를 받는 장애자들,"fn_showArticle(""AR0140351"", """", ""NT41"", ""L"")",AR0140351
재일조선학교차별책동을 규탄하는 집회 일본에서 진행,"fn_showArticle(""AR0140350"", """", ""NT41"", ""L"")",AR0140350
김덕훈동지 라오스수상에게 축전,"fn_showArticle(""AR0140349"", """", ""NT41"", ""L"")",AR0140349
평양의 이름난 유적 부벽루,"fn_showArticle(""AR0140342"", """", ""NT41"", ""L"")",AR0140342
사소한 빈틈도 없이,"fn_showArticle(""AR0140341"", """", ""NT41"", ""L"")",AR0140341
위대한 백두령장의 준마행군길따라,"fn_showArticle(""AR0140340"", """", ""NT41"", ""L"")",AR0140340
우리 인민이 기억하는 올림픽금메달수상자들(11)--세계를 놀래운 《검은말》-엄윤철,"fn_showArticle(""AR0140332"", """", ""NT41"", ""L"")",AR0140332
방직공업의 어머니공장-김정숙평양방직공장,"fn_showArticle(""AR0140331"", """", ""NT41"", ""L"")",AR0140331
지난 1년간 1 900여개의 단체에 8만 4 000여명이 백두산지구 혁명전적지를 답사,"fn_showArticle(""AR0140330"", """", ""NT41"", ""L"")",AR0140330
주체109(2020)년 12월 3일 신문개관,"fn_showArticle(""AR0140329"", """", ""NT41"", ""L"")",AR0140329
《로동신문》 전체 인민의 애국적열정의 분출이자 우리 조국의 진군속도이라고 강조,"fn_showArticle(""AR0140328"", """", ""NT41"", ""L"")",AR0140328
농업과학기술인재들을 키워내는 김제원해주농업대학,"fn_showArticle(""AR0140327"", """", ""NT41"", ""L"")",AR0140327
묘향산의 력사유적들에 대한 단청과 룡문대굴개건보수 진행,"fn_showArticle(""AR0140325"", """", ""NT41"", ""L"")",AR0140325
온실남새생산성과 계속 확대,"fn_showArticle(""AR0140324"", """", ""NT41"", ""L"")",AR0140324
현대외과학의 기초로 되는 치료법들을 창안한 의학자,"fn_showArticle(""AR0140323"", """", ""NT41"", ""L"")",AR0140323
방역사업의 강도를 높여,"fn_showArticle(""AR0140316"", """", ""NT41"", ""L"")",AR0140316
바둑을 발전시키기 위한 노력,"fn_showArticle(""AR0140315"", """", ""NT41"", ""L"")",AR0140315
우리 나라의 지질력사를 보여주는 모란봉규화목,"fn_showArticle(""AR0140314"", """", ""NT41"", ""L"")",AR0140314
민족료리의 걸작품-신선로,"fn_showArticle(""AR0140313"", """", ""NT41"", ""L"")",AR0140313
410년전에 편찬된 의학고전-《동의보감》,"fn_showArticle(""AR0140312"", """", ""NT41"", ""L"")",AR0140312
"인민경제 여러 부문,단위에서 11월전투목표 완수","fn_showArticle(""AR0140311"", """", ""NT41"", ""L"")",AR0140311
각급 비상방역부문에서 초특급비상방역조치 실시,"fn_showArticle(""AR0140310"", """", ""NT41"", ""L"")",AR0140310
각급 경제지도기관들은 당의 경제정책집행을 위한 작전과 지휘를 책임적으로 해나가자,"fn_showArticle(""AR0140302"", """", ""NT41"", ""L"")",AR0140302
《로동신문》  우리 인민의 불타는 충성심과 투쟁열은 80일전투의 힘있는 추동력이라고 강조,"fn_showArticle(""AR0140301"", """", ""NT41"", ""L"")",AR0140301
주체109(2020)년 12월 2일 신문개관,"fn_showArticle(""AR0140300"", """", ""NT41"", ""L"")",AR0140300
우주과학기술토론회-2020 진행,"fn_showArticle(""AR0140299"", """", ""NT41"", ""L"")",AR0140299
김덕훈동지 라오스수상에게 축전,"fn_showArticle(""AR0140349"", """", ""NT03"", ""L"")",AR0140349
우리 나라 외무상 수리아 외무 및 이주민상에게 축전,"fn_showArticle(""AR0140162"", """", ""NT03"", ""L"")",AR0140162
경애하는 최고령도자 김정은동지께 수리아대통령이 답전을 보내여왔다,"fn_showArticle(""AR0140127"", """", ""NT03"", ""L"")",AR0140127
우리 나라 외무상 레바논 외무 및 이주민상에게 축전,"fn_showArticle(""AR0140108"", """", ""NT03"", ""L"")",AR0140108
우리 나라 특명전권대사가 남아프리카대통령에게 신임장을 봉정,"fn_showArticle(""AR0140086"", """", ""NT03"", ""L"")",AR0140086
우리 나라 외무상 팔레스티나국가 외무 및 이주민상에게 축전,"fn_showArticle(""AR0139944"", """", ""NT03"", ""L"")",AR0139944
우리 나라 외무상 에티오피아 부수상 겸 외무상에게 축전,"fn_showArticle(""AR0139907"", """", ""NT03"", ""L"")",AR0139907
우리 나라 외무상 앙골라 대외관계상에게 축전,"fn_showArticle(""AR0139891"", """", ""NT03"", ""L"")",AR0139891
재일조선학교차별책동을 규탄하는 집회 일본에서 진행,"fn_showArticle(""AR0140350"", """", ""NT06"", ""L"")",AR0140350
아시아에서 1 700만명이상이 신형코로나비루스에 감염,"fn_showArticle(""AR0140348"", """", ""NT06"", ""L"")",AR0140348
아프리카에서 악성전염병 만연,"fn_showArticle(""AR0140346"", """", ""NT06"", ""L"")",AR0140346
"세계적으로 감염자 6 479만 7 800여명,사망자 149만 8 100여명","fn_showArticle(""AR0140344"", """", ""NT06"", ""L"")",AR0140344
의연 심각한 문제로 되고있는 에이즈피해,"fn_showArticle(""AR0140339"", """", ""NT06"", ""L"")",AR0140339
소말리아에서 열대성폭풍피해 확대,"fn_showArticle(""AR0140337"", """", ""NT06"", ""L"")",AR0140337
여러 나라에서 방역조치 강구,"fn_showArticle(""AR0140347"", """", ""NT06"", ""L"")",AR0140347
유럽에서의 대류행전염병전파상황,"fn_showArticle(""AR0140345"", """", ""NT06"", ""L"")",AR0140345
아메리카지역에서 신형코로나비루스감염자와 사망자 증가,"fn_showArticle(""AR0140343"", """", ""NT06"", ""L"")",AR0140343
"인도네시아와 아르헨띠나에서 화산,지진","fn_showArticle(""AR0140338"", """", ""NT06"", ""L"")",AR0140338
캄보쟈와 수단에서 범죄반대투쟁,"fn_showArticle(""AR0140336"", """", ""NT06"", ""L"")",AR0140336
남조선당국에 경고한다--조선중앙통신사 보도,"fn_showArticle(""AR0138771"", """", ""NT17"", ""L"")",AR0138771
"조선인강제련행피해자,유가족협회 대변인담화","fn_showArticle(""AR0138015"", """", ""NT17"", ""L"")",AR0138015
조선로동당 중앙위원회 제7기 제6차전원회의 결정서--조선로동당 제8차대회를 소집할데 대하여,"fn_showArticle(""AR0137942"", """", ""NT17"", ""L"")",AR0137942
조선일본군성노예 및 강제련행피해자문제대책위원회 대변인성명,"fn_showArticle(""AR0137825"", """", ""NT17"", ""L"")",AR0137825
조선민주주의인민공화국 국무위원회 정령발표,"fn_showArticle(""AR0137794"", """", ""NT17"", ""L"")",AR0137794
조선로동당 중앙위원회 제7기 제16차 정치국회의 공보,"fn_showArticle(""AR0137795"", """", ""NT17"", ""L"")",AR0137795
조선민주주의인민공화국 외무성 대변인대답,"fn_showArticle(""AR0137273"", """", ""NT17"", ""L"")",AR0137273
주체109(2020)년 12월 3일 신문개관,"fn_showArticle(""AR0140329"", """", ""NT16"", ""L"")",AR0140329
《로동신문》 전체 인민의 애국적열정의 분출이자 우리 조국의 진군속도이라고 강조,"fn_showArticle(""AR0140328"", """", ""NT16"", ""L"")",AR0140328
각급 경제지도기관들은 당의 경제정책집행을 위한 작전과 지휘를 책임적으로 해나가자,"fn_showArticle(""AR0140302"", """", ""NT16"", ""L"")",AR0140302
《로동신문》  우리 인민의 불타는 충성심과 투쟁열은 80일전투의 힘있는 추동력이라고 강조,"fn_showArticle(""AR0140301"", """", ""NT16"", ""L"")",AR0140301
주체109(2020)년 12월 2일 신문개관,"fn_showArticle(""AR0140300"", """", ""NT16"", ""L"")",AR0140300
주체109(2020)년 12월 1일 신문개관,"fn_showArticle(""AR0140275"", """", ""NT16"", ""L"")",AR0140275
주체109(2020)년 11월 30일 《로동신문》개관,"fn_showArticle(""AR0140256"", """", ""NT16"", ""L"")",AR0140256
경애하는 최고령도자 김정은동지께 반제민전에서 축하편지를 드리였다,"fn_showArticle(""AR0139094"", """", ""NT02"", ""L"")",AR0139094
재일조선학교차별책동을 규탄하는 집회 일본에서 진행,"fn_showArticle(""AR0140350"", """", ""NT05"", ""L"")",AR0140350
조선학교차별책동에 편승한 일본법원의 판결에 항의,"fn_showArticle(""AR0139737"", """", ""NT05"", ""L"")",AR0139737
《총련분회대표자대회-2020》(새 전성기 3차대회) 진행,"fn_showArticle(""AR0139723"", """", ""NT05"", ""L"")",AR0139723
경애하는 김정은원수님께 《총련분회대표자대회-2020》 참가자들이 편지를 드리였다,"fn_showArticle(""AR0139722"", """", ""NT05"", ""L"")",AR0139722
"일본 혹가이도에서 유아교육,보육지원제도적용을 요구하는 거리선전활동 전개","fn_showArticle(""AR0139399"", """", ""NT05"", ""L"")",AR0139399
총련애국위업수행에서 새로운 승리의 격변기를 열어나가기 위한 힘찬 진군,"fn_showArticle(""AR0139398"", """", ""NT05"", ""L"")",AR0139398
조선로동당창건 75돐을 재중동포들 뜻깊게 경축,"fn_showArticle(""AR0139220"", """", ""NT05"", ""L"")",AR0139220
순천세멘트련합기업소에서 년간 인민경제계획 초과완수,"fn_showArticle(""AR0140353"", """", ""NT60"", ""L"")",AR0140353
온실남새생산성과 계속 확대,"fn_showArticle(""AR0140324"", """", ""NT60"", ""L"")",AR0140324
"인민경제 여러 부문,단위에서 11월전투목표 완수","fn_showArticle(""AR0140311"", """", ""NT60"", ""L"")",AR0140311
각급 비상방역부문에서 초특급비상방역조치 실시,"fn_showArticle(""AR0140310"", """", ""NT60"", ""L"")",AR0140310
태천자라공장 준공,"fn_showArticle(""AR0140298"", """", ""NT60"", ""L"")",AR0140298
"전국의 많은 청년작업반,청년분조들 다수확 이룩","fn_showArticle(""AR0140297"", """", ""NT60"", ""L"")",AR0140297
동래강저수지 준공식 진행,"fn_showArticle(""AR0140274"", """", ""NT60"", ""L"")",AR0140274
고원대흥발전소 조업,"fn_showArticle(""AR0140273"", """", ""NT60"", ""L"")",AR0140273
전국적으로 가을철나무심기 진행,"fn_showArticle(""AR0140272"", """", ""NT60"", ""L"")",AR0140272
"함경남북도,라선시 피해지역들에서 새집들이 진행","fn_showArticle(""AR0140254"", """", ""NT60"", ""L"")",AR0140254
김덕훈 내각총리 인민경제 여러 단위를 현지료해,"fn_showArticle(""AR0140240"", """", ""NT21"", ""L"")",AR0140240
"광산도시의 휘황한 래일을 그려주는 검덕지구의 전변,삶의 새 터전에 넘치는 인민의 기쁨","fn_showArticle(""AR0140196"", """", ""NT21"", ""L"")",AR0140196
신의주방직공장 로동자합숙 준공식 진행,"fn_showArticle(""AR0140176"", """", ""NT21"", ""L"")",AR0140176
경애하는 최고령도자 김정은동지께 수리아대통령이 답전을 보내여왔다,"fn_showArticle(""AR0140127"", """", ""NT21"", ""L"")",AR0140127
로동당의 은덕으로 끝없이 넘쳐나는 복받은 인민의 환희,"fn_showArticle(""AR0140109"", """", ""NT21"", ""L"")",AR0140109
"조선로동당원의 당성,혁명성,인민성과 투쟁본때를 힘있게 과시","fn_showArticle(""AR0140088"", """", ""NT21"", ""L"")",AR0140088
최정예수도당원사단의 영웅적위훈은 우리 당력사에 길이 빛날것이다,"fn_showArticle(""AR0140065"", """", ""NT21"", ""L"")",AR0140065
주체의 최고성지 금수산태양궁전광장에서 수도당원사단 전투원들의 충성의 보고모임 진행,"fn_showArticle(""AR0140067"", """", ""NT21"", ""L"")",AR0140067
"인민사수전의 최전선에서 혁혁한 위훈을 세운 최정예수도당원사단 평양에 도착,수도시민들 뜨겁게 환영","fn_showArticle(""AR0140066"", """", ""NT21"", ""L"")",AR0140066
김덕훈 내각총리 대안중기계련합기업소와 민들레학습장공장을 현지료해,"fn_showArticle(""AR0139951"", """", ""NT21"", ""L"")",AR0139951
우리 인민이 기억하는 올림픽금메달수상자들(11)--세계를 놀래운 《검은말》-엄윤철,"fn_showArticle(""AR0140332"", """", ""NT11"", ""L"")",AR0140332
바둑을 발전시키기 위한 노력,"fn_showArticle(""AR0140315"", """", ""NT11"", ""L"")",AR0140315
체육연구원에서 수십건의 연구성과 달성,"fn_showArticle(""AR0140250"", """", ""NT11"", ""L"")",AR0140250
민족의 정통무도-태권도,"fn_showArticle(""AR0140182"", """", ""NT11"", ""L"")",AR0140182
우리 인민이 기억하는 올림픽금메달수상자들(10)--녀자유술강자-안금애,"fn_showArticle(""AR0140181"", """", ""NT11"", ""L"")",AR0140181
우주과학기술토론회-2020 진행,"fn_showArticle(""AR0140299"", """", ""NT09"", ""L"")",AR0140299
체육연구원에서 수십건의 연구성과 달성,"fn_showArticle(""AR0140250"", """", ""NT09"", ""L"")",AR0140250
애국적인 수의학자,"fn_showArticle(""AR0140165"", """", ""NT09"", ""L"")",AR0140165
중국에서 달탐측기 발사,"fn_showArticle(""AR0140154"", """", ""NT09"", ""L"")",AR0140154
80일전투에 이바지하는 새 기술자료들 보급,"fn_showArticle(""AR0139997"", """", ""NT09"", ""L"")",AR0139997
자행굴착선을 건조하여 간석지건설에 리용,"fn_showArticle(""AR0139901"", """", ""NT09"", ""L"")",AR0139901
활발히 전개되는 모범과학기술보급실쟁취운동,"fn_showArticle(""AR0139850"", """", ""NT09"", ""L"")",AR0139850
록색재료인 흙경화제를 적극 도입,"fn_showArticle(""AR0139815"", """", ""NT09"", ""L"")",AR0139815
모범기술혁신단위칭호쟁취운동 활발,"fn_showArticle(""AR0139668"", """", ""NT09"", ""L"")",AR0139668
수확고가 높은 벼종자육종에 전력을 집중,"fn_showArticle(""AR0139626"", """", ""NT09"", ""L"")",AR0139626
소독사업에서 빈틈이 없도록,"fn_showArticle(""AR0140173"", """", ""NT10"", ""L"")",AR0140173
사소한 빈틈도 없이,"fn_showArticle(""AR0140341"", """", ""NT10"", ""L"")",AR0140341
방역사업의 강도를 높여,"fn_showArticle(""AR0140316"", """", ""NT10"", ""L"")",AR0140316
설비소독을 방역규정에 맞게,"fn_showArticle(""AR0140228"", """", ""NT10"", ""L"")",AR0140228
